AU,TI,SO,JI,AB,DE,ID,LA,DT,DT2,TC,CR,C1,DI,AR,SN,PN,PP,VL,PY,RP,DB,AU_UN,AU1_UN,AU_UN_NR,SR_FULL,SR,CR_AU,CR_SO,AU_CO,AU1_CO
FEUILLETTE S;BOUSQUET F;LE G P,SINUSE A MULTIAGENT MODEL TO NEGOTIATE WATER DEMAND MANAGEMENT ON A FREE ACCESS WATER TABLE,ENVIRONMENTAL MODELLING AND SOFTWARE,ENVIRON. MODELL. SOFTW.,"MANY WATER TABLES ARE CURRENTLY OVEREXPLOITED THROUGHOUT THE WORLD. THIS SITUATION RAISES THE QUESTION OF THEIR MANAGEMENT. INTEGRATED MANAGEMENT OF SUCH SYSTEMS, ESTABLISHED IN BOTH SUPPLY AND DEMAND AREAS, CALLS FOR THOROUGH KNOWLEDGE OF THE FUNCTIONING OF BOTH THE WATER TABLE AND ITS USERS, SO MODELS ARE USUALLY REQUIRED. THIS STUDY IS BASED ON THE CASE OF THE KAIROUAN WATER TABLE, LOCATED IN TUNISIA, WHICH HAS BEEN CONTINUOUSLY AND GLOBALLY DECREASING FOR MORE THAN 20 YEARS, DUE TO OVEREXPLOITATION BY PRIVATE IRRIGATORS. THE FIELD STUDY LED TO THE HYPOTHESIS THAT THE DYNAMICS OF THE SYSTEM IS HEAVILY INFLUENCED BY LOCAL INTERACTION BETWEEN THE RESOURCE AND ITS USERS, AND BY DIRECT, NON-ECONOMIC INTERACTION BETWEEN THE FARMERS. THE LITERATURE SHOWS THAT SEVERAL KINDS OF MODEL HAVE ALREADY BEEN USED TO REPRESENT INTERACTION BETWEEN A WATER TABLE AND ITS USERS BUT NONE OF THEM ARE ABLE TO TAKE THIS KIND OF SOCIAL BEHAVIOUR INTO ACCOUNT. THE SIMULATOR OF A WATER TABLE AND USER INTERACTION (SINUSE) BASED UPON MULTIAGENT SYSTEMS ENABLED US TO OVERCOME THESE LIMITATIONS. THIS MODEL PROVED TO BE VERY USEFUL FOR REPRESENTING A COMPLEX AND DISTRIBUTED SYSTEM SUCH AS THE KAIROUAN WATER TABLE. IT ENABLED US TO EXPLORE THE INTERACTION BETWEEN THE PHYSICAL AND SOCIO-ECONOMIC COMPONENTS OF THE SYSTEM AND TO CONCLUDE THAT LOCAL AND NON-ECONOMIC BEHAVIOUR DO HAVE A MAJOR IMPACT ON THE GLOBAL DYNAMICS OF THE SYSTEM AND MUST THEREFORE BE TAKEN INTO ACCOUNT. THE MANAGEMENT INTERVENTIONS SIMULATED WITH THE SINUSE MODEL HAVE RAISED INTERESTING QUESTIONS, LEADING TO THE CONCLUSION THAT THIS MODEL COULD PROVIDE A USEFUL TOOL FOR NEGOTIATING THE INTEGRATED MANAGEMENT OF THE WATER TABLE SYSTEM. THOUGH THIS MODEL IS RATHER SPECIFIC, THE APPROACH DEVELOPED COULD BE TRANSFERRED TO OTHER WATER TABLE SYSTEMS, TO IMPROVE THE KNOWLEDGE OF THEIR FUNCTIONING AND EXAMINE THE POSSIBLE IMPACTS OF DIFFERENT MANAGEMENT TOOLS. (C) 2003 ELSEVIER SCIENCE LTD. ALL RIGHTS RESERVED.",WATER TABLE OVEREXPLOITATION; IRRIGATION; MULTI-AGENT SYSTEM; WATER DEMAND,HOMO-ECONOMICUS; GROUNDWATER; SYSTEMS; COMMONS,ENGLISH,ARTICLE,ARTICLE,62,"AKHY RB, 1997, HOUILLE BLANCHE, V52, P58.;ANTONA M, 1999, LECT NOTES ARTIF INT, V1534, P61.;ARMSTRONG A, 2000, AGR ECOSYST ENVIRON, V77, P179, DOI 10.1016/S0167-8809(99)00082-1.;BALMANN A, 1997, EUR REV AGRIC ECON, V24, P85, DOI 10.1093/ERAE/24.1.85.;BARRETEAU O, 2001, JASSS-J ARTIF SOC S, V4.;BARRETEAU O, 2000, ANN OPER RES, V94, P139, DOI 10.1023/A:1018908931155.;BARRETEAU O, 1998, THESIS ENGREF MONTPE.;BART J, 1995, ECOL APPL, V5, P411, DOI 10.2307/1942032.;BERKOFF J, 1994, STRATEGY MANAGING WA.;BESBES M, 1975, ETUDE HYDROGEOLOGIQU.;BHATIA R, 1995, WATER CONSERVATION R.;BLOMQUIST W., 1992, DIVIDING WATERS GOVE.;BOUSQUET F, 1998, LECT NOTES ARTIF INT, V1416, P826.;BOUSQUET F., 1999, ADV ENV ECOLOGICAL M, P113.;BRISCOE J., 1997, WATER: ECONOMICS, MANAGEMENT AND DEMAND. INTERNATIONAL COMMISSION ON IRRIGATION \& DRAINAGE. PROCEEDINGS 18TH EUROPEAN REGIONAL CONFERENCE `WATER - AN ECONOMIC GOOD', OXFORD, UK, SEPTEMBER 1997., P339.;BROWN TN, 1996, ECOL MODEL, V86, P129, DOI 10.1016/0304-3800(95)00039-9.;CAMPAGNE P., 1994, RECHERCHES-SYSTEME EN AGRICULTURE ET DEVELOPPEMENT RURAL: SYMPOSIUM INTERNATIONAL, MONTPELLIER, FRANCE - 21-25 NOVEMBRE 1994. COMMUNICATIONS., P137.;CUNHA MDMD, 1993, WATER RESOUR RES, V29, P2415.;DEADMAN PJ, 2000, J ARTIFICIAL SOC SOC, V3.;DENT JB, 1995, AGR SYST, V49, P337, DOI 10.1016/0308-521X(95)00029-5.;EHEART JW, 1990, J WATER RES PL-ASCE, V116, P282, DOI 10.1061/(ASCE)0733-9496(1990)116:2(282).;FAISAL IM, 1997, WATER RESOURCES DEV, V13, P21.;FERBER J., 1994, REVUE INTERNATIONALE DE SYSTEMIQUE, V8, P13.;FEUILLETTE S, 1998, NOV 19 20 MONTP FRAN.;FEUILLETTE S, 2000, OCT 11 13 MONTP FRAN.;FEUILLETTE S, 2000, JUN 21 24 2000 BAM G.;FEUILLETTE S, 2001, THESIS MONTPELLIER U.;GINTIS H, 2000, ECOL ECON, V35, P311, DOI 10.1016/S0921-8009(00)00216-0.;HARDIN G, 1968, SCIENCE, V162, P1243.;HEIKKILA T, 2000, MAY 31 JUN 4 2000 BL.;JAGER W, 2000, ECOL ECON, V35, P357, DOI 10.1016/S0921-8009(00)00220-2.;JANSSEN MA, 2003, COMPLEXITY ECOSYSTEM.;KLEIJNEN J, 1998, HDB SIMULATION, P177.;KOSCIUSKOMORIZE.N, 1998, SFER 19 20 NOV 1998.;LAMACQ S, 1997, THESIS ENGREF MONTPE.;LAURENT A, 1993, THESIS MONTPELLIER U.;LAW AM, 1991, SIMULATION MODELING.;LEWIS RO, 1993, MODELLING AND SIMULATION 1993, P632.;LIEVRE P, 1998, GESTION TERRITOIRES, P343.;LIFRAN R, 1998, OCT 5 8 1998 CLERMON.;MANAS FMD, 1999, AGR WATER MANAGE, V40, P195.;MEINZEN-DICK R., 1997, WATER: ECONOMICS, MANAGEMENT AND DEMAND. INTERNATIONAL COMMISSION ON IRRIGATION \& DRAINAGE. PROCEEDINGS 18TH EUROPEAN REGIONAL CONFERENCE `WATER - AN ECONOMIC GOOD', OXFORD, UK, SEPTEMBER 1997., P312.;MEINZEN-DICK R, 1997, 105 INT FOOD POL RES.;MONTGINOUL M, 1999, EC RURALE, V254, P20.;MONTGINOUL M, 1998, SFER 19 20 NOV 1998.;MONTGINOUL M, 1997, THESIS FACULTE SCI E.;MULLER PA, 1998, MODELISATION OBJET U.;NAGARAJ N, 2000, 31 MAI 4 JUIN 2000 B.;NAZOUMOU Y, 2001, JUL 18 27 2001 MAAST.;NAZOUMOU Y, 2000, NOV 19 20 2000 MONTP.;OLIVER B., 1999, INGENIERIE SYSTEMES, P67.;OSTROM E., 1990, GOVERNING COMMONS.;PROVENCHER B, 1994, AM J AGR ECON, V76, P875, DOI 10.2307/1243748.;ROUCHIER J, 2001, J ECON DYN CONTROL, V25, P527, DOI 10.1016/S0165-1889(00)00035-X.;RYKIEL EJ, 1996, ECOL MODEL, V90, P229, DOI 10.1016/0304-3800(95)00152-2.;SEBILLOTTE M, 1998, CR HEBD ACAD SCI, V74, P59.;TEERINK JR, 1996, WORLD BANK TECHNICAL, V198.;VERBEEK M, 1996, WATER SCI TECHNOL, V34, P17, DOI 10.1016/S0273-1223(96)00849-9.;WALLACE JS, 2000, AGR ECOSYST ENVIRON, V82, P105, DOI 10.1016/S0167-8809(00)00220-6.","BOUSQUET, F (REPRINT AUTHOR), CIRAD, IRRI, POB 9-159, BANGKOK 10900, THAILAND.;CIRAD, IRRI, BANGKOK 10900, THAILAND.;IRD, LIA, GEODE, F-93143 BONDY, FRANCE.;IRD, MSE, DIVHA, F-34394 MONTPELLIER 5, FRANCE.",10.1016/S1364-8152(03)00006-9,,1364-8152,5.0,413-427,18,2003,"BOUSQUET, F (REPRINT AUTHOR), CIRAD, IRRI, POB 9-159, BANGKOK 10900, THAILAND",ISI,NOTREPORTED,NOTREPORTED,,"FEUILLETTE S, 2003, ENVIRON MODELL SOFTW","FEUILLETTE S, 2003, ENVIRON MODELL SOFTW",AKHY RB;ANTONA M;ARMSTRONG A;BALMANN A;BARRETEAU O;BARRETEAU O;BARRETEAU O;BART J;BERKOFF J;BESBES M;BHATIA R;BLOMQUIST W;BOUSQUET F;BOUSQUET F;BRISCOE J;BROWN TN;CAMPAGNE P;CUNHA MDMD;DEADMAN PJ;DENT JB;EHEART JW;FAISAL IM;FERBER J;FEUILLETTE S;FEUILLETTE S;FEUILLETTE S;FEUILLETTE S;GINTIS H;HARDIN G;HEIKKILA T;JAGER W;JANSSEN MA;KLEIJNEN J;KOSCIUSKOMORIZEN;LAMACQ S;LAURENT A;LAW AM;LEWIS RO;LIEVRE P;LIFRAN R;MANAS FMD;MEINZENDICK R;MEINZENDICK R;MONTGINOUL M;MONTGINOUL M;MONTGINOUL M;MULLER PA;NAGARAJ N;NAZOUMOU Y;NAZOUMOU Y;OLIVER B;OSTROM E;PROVENCHER B;ROUCHIER J;RYKIEL EJ;SEBILLOTTE M;TEERINK JR;VERBEEK M;WALLACE JS,HOUILLE BLANCHE;LECT NOTES ARTIF INT;AGR ECOSYST ENVIRON;EUR REV AGRIC ECON;JASSS-J ARTIF SOC S;ANN OPER RES;THESIS ENGREF MONTPE.;ECOL APPL;STRATEGY MANAGING WA.;ETUDE HYDROGEOLOGIQU.;WATER CONSERVATION R.;DIVIDING WATERS GOVE.;LECT NOTES ARTIF INT;ADV ENV ECOLOGICAL M;WATER: ECONOMICS;ECOL MODEL;RECHERCHES-SYSTEME EN AGRICULTURE ET DEVELOPPEMENT RURAL: SYMPOSIUM INTERNATIONAL;WATER RESOUR RES;J ARTIFICIAL SOC SOC;AGR SYST;J WATER RES PL-ASCE;WATER RESOURCES DEV;REVUE INTERNATIONALE DE SYSTEMIQUE;NOV 19 20 MONTP FRAN.;OCT 11 13 MONTP FRAN.;JUN 21 24 2000 BAM G.;THESIS MONTPELLIER U.;ECOL ECON;SCIENCE;MAY 31 JUN 4 2000 BL.;ECOL ECON;COMPLEXITY ECOSYSTEM.;HDB SIMULATION;SFER 19 20 NOV 1998.;THESIS ENGREF MONTPE.;THESIS MONTPELLIER U.;SIMULATION MODELING.;MODELLING AND SIMULATION 1993;GESTION TERRITOIRES;OCT 5 8 1998 CLERMON.;AGR WATER MANAGE;WATER: ECONOMICS;105 INT FOOD POL RES.;EC RURALE;SFER 19 20 NOV 1998.;THESIS FACULTE SCI E.;MODELISATION OBJET U.;31 MAI 4 JUIN 2000 B.;JUL 18 27 2001 MAAST.;NOV 19 20 2000 MONTP.;INGENIERIE SYSTEMES;GOVERNING COMMONS.;AM J AGR ECON;J ECON DYN CONTROL;ECOL MODEL;CR HEBD ACAD SCI;WORLD BANK TECHNICAL;WATER SCI TECHNOL;AGR ECOSYST ENVIRON,FRANCE;FRANCE;THAILAND,THAILAND
BARTHEL R;ROJANSCHI V;WOLF J;BRAUN J,LARGESCALE WATER RESOURCES MANAGEMENT WITHIN THE FRAMEWORK OF GLOWADANUBE PART A THE GROUNDWATER MODEL,PHYSICS AND CHEMISTRY OF THE EARTH,PHYS. CHEM. EARTH,"THE RESEARCH PROJECT GLOWA-DANUBE, FINANCED BY THE GERMAN FEDERAL GOVERNMENT, IS INVESTIGATING LONG-TERM CHANGES IN THE WATER CYCLE OF THE UPPER DANUBE RIVER BASIN (77,000 KM(2)) IN LIGHT OF GLOBAL CLIMATIC CHANGE. ITS AIM IS TO BUILD A FULLY INTEGRATED DECISION-SUPPORT TOOL ``DANUBIA THAT COMBINES THE COMPETENCE OF 11 DIFFERENT RESEARCH INSTITUTES IN DOMAINS COVERING ALL MAJOR ASPECTS GOVERNING THE WATER CYCLE-FROM THE FORMATION OF CLOUDS, TO GROUNDWATER FLOW PATTERNS, TO THE BEHAVIOUR OF THE WATER CONSUMER. BOTH THE INFLUENCE OF NATURAL CHANGES IN THE ECOSYSTEM, SUCH AS CLIMATE CHANGE, AND CHANGES IN HUMAN BEHAVIOUR, SUCH AS CHANGES IN LAND USE OR WATER CONSUMPTION, ARE CONSIDERED. DANUBIA IS COMPRISED OF 15 INDIVIDUAL DISCIPLINARY MODELS THAT ARE CONNECTED VIA CUSTOMIZED INTERFACES THAT FACILITATE NETWORK-BASED PARALLEL CALCULATIONS. THE STRICTLY OBJECT-ORIENTED DANUBIA ARCHITECTURE WAS DEVELOPED USING THE GRAPHICAL NOTATION TOOL UML (UNIFIED MODELING LANGUAGE) AND HAS BEEN IMPLEMENTED IN JAVA CODE. ALL MODELS USE THE SAME SPATIAL DISCRETISATION FOR THE EXCHANGE OF DATA (1 X 1 KM GRID CELLS) BUT ARE USING DIFFERENT TIME STEPS. THE REPRESENTATION OF A VAST NUMBER OF RELEVANT PHYSICAL AND SOCIAL PROCESSES THAT OCCUR AT DIFFERENT SPATIAL AND TEMPORAL SCALES IS A VERY DEMANDING TASK. NEWLY DEVELOPED UP- AND DOWNSCALING PROCEDURES [ROJANSCHI, V., 2001. EFFECTS OF UPSCALING FOR A FINITE-DIFFERENCE FLOW MODEL. MASTER'S THESIS, INSTITUT FUR WASSERBAU, UNIVERSITAT STUTTGART, STUTTGART, GERMANY] AND A SOPHISTICATED TIME CONTROLLER DEVELOPED BY THE COMPUTER SCIENCES GROUP [HENNICKER, R., BARTH, M., KRAUS, A., LUDWIG, M., 2002. DANUBIA: A WEB-BASED MODELLING AND DECISION SUPPORT SYSTEM FOR INTEGRATIVE GLOBAL CHANGE RESEARCH IN THE UPPER DANUBE BASIN. IN: GSF (ED.), GLOWA, GERMAN PROGRAM ON GLOBAL CHANGE IN THE HYDROLOGICAL CYCLE STATUS REPORT 2002. GSF, MUNICH, PP. 35-38, KRAUS, A., LUDWIG, M., 2003. GLOWA-DANUBE PAPERS TECHNICAL RELEASE NO. 002 (DANUBIA FRAMEWORK), SOFTWARE-RELEASE NO.: 0.9.2, DOCUMENTATION VERSION: 0.10, RELEASE DATE: 27 MARCH 2003] ARE REQUIRED TO SOLVE THE EMERGING PROBLEMS. AFTER A FIRST SUCCESSFUL PUBLIC DEMONSTRATION OF THE DANUBIA PACKAGE (NINE MODELS) IN MAY 2002 [MAUSER, W., STOLZ, R., COLGAN, A., 2002. GLOWA-DANUBE: INTEGRATIVE TECHNIQUES, SCENARIOS AND STRATEGIES REGARDING GLOBAL CHANGE OF THE WATER CYCLE. IN: GSF (ED.), GLOWA, GERMAN PROGRAM ON GLOBAL CHANGE IN THE HYDROLOGICAL CYCLE (PHASE I, 2000-2003) STATUS REPORT 2002. GSF, MUNICH, PP. 31-34], THE RESEARCH CONSORTIUM IS NOW PREPARING A FIRST VALIDATION RUN OF DANUBIA FOR THE PERIOD 1995-1999 WITH ALL 15 MODELS. AFTER SUCCESSFUL COMPLETION OF THE VALIDATION, A SCENARIO RUN BASED ON IPCC CLIMATE SCENARIOS [IPCC, 2001. CLIMATE CHANGE 2001: SYNTHESIS REPORT. IN: WATSON, R.T., CORE WRITING TEAM (EDS.), A CONTRIBUTION OF WORKING GROUPS I, II, AND III TO THE THIRD ASSESSMENT REPORT OF THE INTERGOVERNMENTAL PANEL ON CLIMATE CHANGE. CAMBRIDGE UNIVERSITY PRESS, CAMBRIDGE, UK AND NEW YORK, NY, USA, 398PP] FOR A FIVE YEAR PERIOD BETWEEN 2025 AND 2040 WILL FOLLOW AT THE END OF 2003. THE RESEARCH GROUP ``GROUNDWATER AND WATER RESOURCES MANAGEMENT AT THE INSTITUTE OF HYDRAULIC ENGINEERING, UNIVERSITAT STUTTGART, IS CONTRIBUTING BOTH A THREE-DIMENSIONAL GROUNDWATER FLOW MODEL OF THE CATCHMENT AND AN AGENT-BASED MODEL FOR SIMULATING WATER SUPPLY AND DISTRIBUTION. THIS PAPER GIVES A GENERAL OVERVIEW OF THE GLOWA-DANUBE PROJECT AND DESCRIBES THE GROUNDWATER MODELING SEGMENT. NICKEL ET AL. DEAL WITH THE WATER SUPPLY MODEL IN A SECOND CONTRIBUTION TO THIS SPECIAL ISSUE. A THREE-DIMENSIONAL NUMERICAL GROUNDWATER FLOW MODEL CONSISTING OF FOUR MAIN LAYERS HAS BEEN DEVELOPED AND IS IN A CONTINUAL STATE OF REFINEMENT (MODFLOW, [MCDONALD, M.G., HARBAUGH, AW., 1988. A MODULAR THREE-DIMENSIONAL FINITE-DIFFERENCE GROUND-WATER FLOW MODEL: US GEOLOGICAL SURVEY TECHNIQUES OF WATER-RESOURCES INVESTIGATIONS, WASHINGTON, USA (BOOK 6, CHAPTER A1)]). ONE MAIN RESEARCH FOCUS HAS BEEN ON THE INVESTIGATION OF UPSCALING TECHNIQUES TO MEET THE REQUIREMENT OF A FIXED 1 X 1 KM CELL SIZE. THIS CELL SIZE IS COMPULSORY FOR ALL MODELS IN DANUBIA IN ORDER TO FACILITATE A ONE TO ONE PARAMETER EXCHANGE. IN A SECOND STAGE, A TRANSPORT MODEL (NITROGEN) WILL BE ADDED (MT3D): [ZHENG, C., HATHAWAY, D-L., 1991. MT3D: A NEW MODULAR THREE-DIMENSIONAL TRANSPORT MODEL AND ITS APPLICATION IN PREDICTING THE PERSISTENCE AND TRANSPORT OF DISSOLVED COMPOUNDS FROM A GASOLINE SPILL, WITH IMPLICATIONS FOR REMEDIATION. ASSOCIATION OF GROUND WATER SCIENTISTS AND ENGINEERS ANNUAL MEETING ON INNOVATIVE GROUND WATER TECHNOLOGIES FOR THE `90S, NATIONAL GROUND WATER ASSOCIATION, WESTERVILLE, OHIO, USA. GROUND WATER 29 (5)]. (C) 2005 ELSEVIER LTD. ALL RIGHTS RESERVED.",DANUBE; GROUNDWATER MODEL; MODFLOW; HYDROGEOLOGY; DECISION SUPPORT SYSTEM; INTEGRATED MODELLING,,ENGLISH,"ARTICLE, PROCEEDINGS PAPER",ARTICLE,19,"BOOCH GJ, 1999, UML USER HDB.;HENNICKER R, 2002, GLOWA GERMAN PROGRAM, P35.;KRAUS A, 2003, 002 GLOWA.;MAUSER W, 2002, GLOWA GERMAN PROGRAM.;MAUSER W, 2002, CLIMATIC CHANGE IMPL, V10, P171.;MCCARTHY J.J, 2001, CONTRIBUTION WORKING.;MCDONALD M.G., 1988, MODULAR 3 DIMENSIONA.;ROJANSCHI V, 2001, THESIS U STUTTGART S.;ZHENG C, 1991, GROUND WATER, V29.","BARTHEL, R (REPRINT AUTHOR), UNIV STUTTGART, INST HYDRAUL ENGN IWS, PFAFFENWALDRING 61, D-70569 STUTTGART, GERMANY.;UNIV STUTTGART, INST HYDRAUL ENGN IWS, D-70569 STUTTGART, GERMANY.",10.1016/J.PCE.2005.06.003,,1474-7065,67.0,372-382,30,2005,"BARTHEL, R (REPRINT AUTHOR), UNIV STUTTGART, INST HYDRAUL ENGN IWS, PFAFFENWALDRING 61, D-70569 STUTTGART, GERMANY",ISI,UNIV STUTTGART,UNIV STUTTGART,,"BARTHEL R, 2005, PHYS CHEM EARTH","BARTHEL R, 2005, PHYS CHEM EARTH",BOOCH GJ;HENNICKER R;KRAUS A;MAUSER W;MAUSER W;MCCARTHY JJ;MCDONALD MG;ROJANSCHI V;ZHENG C,UML USER HDB.;GLOWA GERMAN PROGRAM;002 GLOWA.;GLOWA GERMAN PROGRAM.;CLIMATIC CHANGE IMPL;CONTRIBUTION WORKING.;MODULAR 3 DIMENSIONA.;THESIS U STUTTGART S.;GROUND WATER,GERMANY,GERMANY
NICKEL D;BARTHEL R;BRAUN J,LARGESCALE WATER RESOURCES MANAGEMENT WITHIN THE FRAMEWORK OF GLOWADANUBE THE WATER SUPPLY MODEL,PHYSICS AND CHEMISTRY OF THE EARTH,PHYS. CHEM. EARTH,"THE RESEARCH PROJECT GLOWA-DANUBE, FINANCED BY THE GERMAN FEDERAL GOVERNMENT, INVESTIGATES LONG-TERM CHANGES IN THE WATER CYCLE OF THE UPPER DANUBE RIVER BASIN IN LIGHT OF GLOBAL CLIMATIC CHANGE. ITS AIM IS TO BUILD A FULLY INTEGRATED DECISION SUPPORT TOOL ``DANUBIA THAT COMBINES THE COMPETENCE OF ELEVEN INSTITUTES IN DOMAINS COVERING ALL MAJOR ASPECTS GOVERNING THE WATER CYCLE. THE RESEARCH GROUP ``GROUNDWATER AND WATER SUPPLY AT THE INSTITUTE OF HYDRAULIC ENGINEERING (IWS), UNIVERSITAET STUTTGART, CONTRIBUTES A THREE-DIMENSIONAL GROUNDWATER FLOW MODEL AND A LARGE-SCALE WATER SUPPLY MODEL WHICH SIMULATE BOTH WATER AVAILABILITY AND QUALITY AND WATER SUPPLY AND THE RELATED COSTS FOR GLOBAL CHANGE SCENARIOS. THIS ARTICLE ADDRESSES THE TASK OF CREATING AN AGENT-BASED MODEL OF THE WATER SUPPLY SECTOR. THE WATER SUPPLY MODEL LINKS THE VARIOUS PHYSICAL MODELS DETERMINING WATER QUALITY AND AVAILABILITY ON THE ONE HAND AND THE SO-CALLED ``ACTOR MODELS CALCULATING WATER DEMAND ON THE OTHER BY DETERMINING THE ACTUAL WATER SUPPLY AND THE COSTS RELATED, WHICH UNDERLIE BOTH TECHNICAL AND PHYSICAL CONSTRAINTS (E.G., EXISTING INFRASTRUCTURE AND ITS CAPACITY, WATER AVAILABILITY AND QUALITY, GEOLOGY, ELEVATION, ETC.). IN REALITY, WATER SUPPLY WITHIN THE STUDY IS ORGANISED THROUGH A THREE-TIERED STRUCTURE: LONG-DISTANCE, REGIONAL, AND A MULTITUDE OF COMMUNITY-BASED SUPPLIERS. IN ORDER TO MODEL THIS SYSTEM IN WHICH EACH SUPPLY COMPANY DEFINES ITS OWN OPTIMUM, AN AGENT-BASED MODELLING APPROACH (IMPLEMENTED USING JAVA) WAS CHOSEN. THIS APPROACH IS NOVEL TO MODELLING WATER SUPPLY IN THAT NOT ONLY WATER SUPPLY INFRASTRUCTURE BUT MORE IMPORTANTLY THE DECISION MAKERS (COMMUNITIES, WATER SUPPLY COMPANIES) ARE REPRESENTED AS GENERALISED OBJECTS, CAPABLE OF PERFORMING ACTIONS FOLLOWING RULES THAT ARE DETERMINED BY THE CLASS THEY BELONG TO. (C) 2005 ELSEVIER LTD. ALL RIGHTS RESERVED.",DECISION SUPPORT SYSTEM; SUSTAINABLE WATER SUPPLY; WATER SUPPLY MODEL; AGENT BASED MODELING; STAKEHOLDER ENGAGEMENT,,ENGLISH,"ARTICLE, PROCEEDINGS PAPER",ARTICLE,12,"*BMBF, 2000, AKT NACHH WETTB DTSC.","NICKEL, D (REPRINT AUTHOR), UNIV STUTTGART, INST HYDRAUL ENGN IWS, PFAFFENWALDRING 61, D-70569 STUTTGART, GERMANY.;UNIV STUTTGART, INST HYDRAUL ENGN IWS, D-70569 STUTTGART, GERMANY.",10.1016/J.PCE.2005.06.004,,1474-7065,67.0,383-388,30,2005,"NICKEL, D (REPRINT AUTHOR), UNIV STUTTGART, INST HYDRAUL ENGN IWS, PFAFFENWALDRING 61, D-70569 STUTTGART, GERMANY",ISI,UNIV STUTTGART,UNIV STUTTGART,,"NICKEL D, 2005, PHYS CHEM EARTH","NICKEL D, 2005, PHYS CHEM EARTH",BMBF,AKT NACHH WETTB DTSC.,GERMANY,GERMANY
ZELLNER M,GENERATING POLICIES FOR SUSTAINABLE WATER USE IN COMPLEX SCENARIOS AN INTEGRATED LANDUSE AND WATERUSE MODEL OF MONROE COUNTY MICHIGAN,ENVIRONMENT AND PLANNING B: PLANNING AND DESIGN,ENVIRON. PLAN. B-PLAN. DES.,"RAPIDLY DECLINING GROUNDWATER LEVELS SINCE THE EARLY 1990S HAVE RAISED SERIOUS CONCERN IN MONROE COUNTY, MICHIGAN. HYDROLOGICAL STUDIES SUGGEST THAT LAND-USE CHANGES HAVE CAUSED THIS DECLINE. THE MECHANISMS LINKING LAND-USE AND GROUNDWATER DYNAMICS ARE NOT CLEAR, HOWEVER. IN THIS PAPER I PRESENT WULUM, THE WATER-USE AND LAND-USE MODEL, AN AGENT-BASED MODEL THAT SERVES AS AN ANALYTICAL FRAMEWORK TO UNDERSTAND HOW THESE PROCESSES INTERACT TO CREATE THE OBSERVED PATTERNS OF RESOURCE DEPLETION, AND TO SUGGEST POLICIES TO REVERSE THE PROCESS. THE LAND-USE COMPONENT INCLUDES THE MAIN GROUNDWATER EXTRACTORS IN THE COUNTY-STONE QUARRIES, GOLF COURSES, FARMS, AND HOUSEHOLDS. THE GROUNDWATER COMPONENT INCLUDES THE GLACIAL DEPOSITS AND THE UNDERLYING BEDROCK ACQUIFER. THE BEHAVIOR OF WATER USERS IS DEFINED BY SIMPLE RULES THAT DETERMINE THEIR LOCATION AND CONSUMPTION. THE DYNAMICS OF GROUNDWATER ARE REPRESENTED THROUGH INFILTRATION AND DIFFUSION RULES BETWEEN EACH CELL AND ITS IMMEDIATE NEIGHBORS. INITIAL EXPLORATIONS WITH THE MODEL SHOWED THAT LAND-USE PATTERNS CONTRIBUTED SIGNIFICANTLY TO GROUNDWATER DECLINES, WHILE ELIMINATING QUARRY DEWATERING DID NOT ENTIRELY SOLVE THE PROBLEM. BOTH LOW-DENSITY AND HIGH-DENSITY ZONING RESTRICTIONS IMPROVED AQUIFER CONDITIONS OVER MEDIUM-DENSITY DEVELOPMENT, SUGGESTING A NONLINEAR RELATIONSHIP BETWEEN INTENSITY OF RESIDENTIAL USE AND GROUNDWATER LEVELS. MOREOVER, OF ALL THE NATURAL AND POLICY VARIABLES, ZONING HAD THE GREATEST INFLUENCE ON URBAN SETTLEMENT AND THEREFORE ON RESOURCE CONSUMPTION.",,MANAGEMENT,ENGLISH,ARTICLE,ARTICLE,20,"BECU N, 2003, ECOL MODEL, V170, P319, DOI 10.1016/S0304-3800(03)00236-9.;BOGART W. T., 1998, EC CITIES SUBURBS.;*DEP ENV QUAL, 2004, GREAT LAK MAP.","ZELLNER, ML (REPRINT AUTHOR), UNIV MICHIGAN, URBAN \& REG PLANNING PROGRAM, CTR STUDY COMPLEX SYST, 4485 RANDALL LAB, ANN ARBOR, MI 48109 USA.;UNIV MICHIGAN, URBAN \& REG PLANNING PROGRAM, CTR STUDY COMPLEX SYST, ANN ARBOR, MI 48109 USA.",10.1068/B32152,,0265-8135,4.0,664-686,34,2007,"ZELLNER, ML (REPRINT AUTHOR), UNIV MICHIGAN, URBAN \& REG PLANNING PROGRAM, CTR STUDY COMPLEX SYST, 4485 RANDALL LAB, ANN ARBOR, MI 48109 USA",ISI,UNIV MICHIGAN,UNIV MICHIGAN,,"ZELLNER M, 2007, ENVIRON PLAN B-PLAN DES","ZELLNER M, 2007, ENVIRON PLAN B-PLAN DES",BECU N;BOGART W T;DEP ENV QUAL,ECOL MODEL;EC CITIES SUBURBS.;GREAT LAK MAP.,USA,USA
